//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            6 42 84             8 11 9          255 128 0          255 128 0               1.95               0.25               0.95                100                 60                  0            4000.00              10.00               0.95          120 40 40         72 107 159       67 67 67 240     248 121 102 80        248 44 24 0                 25                150                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255            1 13 29              0 0 0          255 128 0              5 8 0               0.95               0.25               0.25                160                100                  0            4000.00              10.00               0.95           70 27 10           15 11 34       67 67 62 240    248 124 124 124        248 44 24 0                 25                 80                  0               1.00
//
///////////////////////////////////////////SUNNY_SMOG_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            4 14 29              0 0 0          255 128 0              5 0 0               0.95               0.35               0.55                200                100                  0            4000.00             155.00               0.95            30 20 0              3 3 3       85 85 65 240       248 57 87 87       248 21 27 88                122                 90                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255           10 36 67            52 25 3          255 128 0          255 128 0              -0.05               0.35               0.95                150                100                  0            4000.00             155.00               0.95            35 9 10           27 30 36     53 104 104 240      248 50 78 114       248 34 40 30                122                 90                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255         90 205 255         160 108 47          255 128 0          255 128 0               8.35               0.25               0.85                140                 93                  0            4000.00             100.00               0.75          100 34 25          120 92 88     90 170 170 240       248 86 86 86       248 149 94 0                122                120                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255         90 205 255        222 204 200          255 128 0          255 128 0               1.15               0.15               0.05                236                 50                 75            4000.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240    248 106 106 106       248 96 61 15                122                180                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255         79 140 243        143 175 175          255 128 0          255 128 0               2.45               0.95               0.05                236                  0                190            4000.00              80.00              -0.05           44 34 23        145 164 183     90 170 170 240    248 127 123 110       248 99 74 10                122                180                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255         84 126 198         218 142 21           255 55 0        255 255 255               4.25               0.25               0.35                222                 40                 75            4000.00              10.00               0.75          120 40 40         200 123 96       50 97 97 240    248 124 124 107       248 86 50 10                122                180                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255           10 36 67             20 9 2          255 128 0          255 128 0               1.95               0.25               0.65                100                 60                  0            4000.00              10.00               0.95          120 40 40         72 107 159       67 67 67 240      248 121 93 71        248 44 24 0                122                120                  0               1.00
// 10 PM
         255 254 254        255 254 254        255 255 255            4 14 29              0 0 0          255 128 0              5 8 0               0.95               0.25               0.55                160                100                  0            4000.00              10.00               0.95           70 27 10           15 11 34       67 67 62 240     248 117 124 83        248 66 27 0                122                 90                  0               1.00
//
///////////////////////////////////////////CLOUDY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255           20 20 20           10 23 33            10 10 0             10 0 0               0.95               0.95               0.15                200                100                  0            4000.00              79.00               0.95            30 20 0           23 28 30       55 55 66 240    248 124 124 124       248 45 49 32                155                 51                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255           10 10 10           10 22 33            10 10 0             10 0 0               0.95               0.95               0.05                200                100                  0            4000.00             -22.00               0.95           70 27 10           23 28 30       55 55 66 240       248 80 85 91     248 98 120 120                155                100                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255           22 22 22           15 25 27              0 0 0              0 0 0               3.35               0.85               0.05                200                100                  0            4000.00              90.00               0.75          100 34 25           23 28 30       77 77 88 240       248 63 80 80     248 122 122 90                155                180                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255        125 145 151        125 145 151              0 0 0              0 0 0              -0.05               0.65               0.05                 80                 50                  0            4000.00             -22.00               0.45          120 40 40         92 116 125       77 77 88 240    248 124 124 124       248 45 28 12                155                180                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255        125 145 151        125 145 151            10 10 0             10 0 0               2.75               0.45               0.05                 80                  0                120            4000.00             -22.00               0.25        120 100 100         92 116 123    125 125 125 240       248 80 80 80    248 122 122 122                155                180                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255          62 72 120           85 54 30              0 0 0              0 0 0               3.45               0.95               0.05                 80                  0                  0            4000.00             -22.00               0.75        120 100 100         92 116 123    123 128 134 240       248 44 44 44    248 122 122 122                155                180                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255           30 30 33             3 7 11              0 0 0              0 0 0              -0.05               0.95               0.05                 80                 50                  0            4000.00             -22.00               0.95        120 100 100           46 58 61    122 126 134 240       248 90 90 90     248 90 122 122                155                180                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255           20 20 20              0 0 0            10 10 0             10 0 0               0.95               0.95               0.35                200                100                  0            4000.00             111.00               0.95           70 27 10           23 28 30       10 70 60 240      248 64 64 100       248 69 70 87                155                 20                  0               1.00
//
///////////////////////////////////////////SUNNY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            2 14 32           10 36 65          255 128 0              5 0 0               0.95               0.45               0.35                200                100                  0            4000.00             100.00               0.95            30 20 0              3 3 3       19 40 52 240       248 66 66 66       248 88 56 28                 50                120                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255            7 42 96            66 54 4          255 128 0            255 0 0              -0.05               0.25               0.95                150                100                  0            4000.00             100.00               0.95           70 27 10           50 43 36       21 41 56 240       248 66 99 66       248 88 47 23                 50                120                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               2.95               0.15               0.85                140                100                  0            4000.00              66.00               0.75          100 34 25          120 92 88    178 160 160 200    248 124 124 124       248 45 47 23                 50                120                 70               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255         90 205 255        187 146 116          255 128 0            255 0 0               3.25               0.95               0.05                100                 50                  0            4000.00              66.00               0.45          120 40 40        159 142 106    145 170 170 240       248 55 62 64       248 66 66 80                 50                120                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255         90 180 255         89 146 255          255 128 0          255 128 0               2.45               0.95               0.05                150                  0                150            4000.00              66.00               0.95        120 100 100        180 255 255     90 170 170 240       248 44 94 89       248 45 66 36                 50                120                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255          54 71 125           111 62 1            255 0 0            255 0 0               3.25               0.95               0.15                110                 40                  0            4000.00              66.00               0.75          120 40 40         200 123 96      103 95 87 240       248 33 99 99       248 66 66 44                 50                120                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255           20 20 23            8 15 19          255 128 0            155 0 0               1.95               0.55               0.25                100                 60                  0            4000.00              66.00               0.95          120 40 40              0 0 0       67 67 67 240      248 124 66 44       248 66 55 23                 50                120                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255            2 14 32              0 0 0            255 5 8              5 8 0               0.95               0.45               0.45                160                100                  0            4000.00              66.00               0.95           70 27 10              0 0 0       44 73 96 240    248 124 124 124       248 45 47 23                 50                112                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            1 24 28              1 3 0          255 128 0              5 0 0               0.95               0.45               0.35                200                100                  0            4000.00             100.00               0.95            30 20 0              3 3 3       19 40 52 240       248 66 66 66       248 88 56 28                  0                120                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255            4 32 66            4 32 66          255 128 0            255 0 0              -0.05               0.25               0.95                150                100                  0            4000.00             100.00               0.95           70 27 10           50 43 36       21 41 56 240       248 66 99 66       248 88 47 23                  0                120                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255        155 155 155         198 124 85          255 128 0          255 128 0               2.65               0.15               0.15                140                100                  0            4000.00              66.00               0.75          100 34 25          120 92 88    178 160 160 200       248 86 86 86       248 166 94 0                  0                120                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255        155 155 155         198 124 85          255 128 0            255 0 0               1.65               0.95               0.05                100                 50                  0            4000.00              66.00               0.45          120 40 40        159 142 106    145 170 170 240       248 86 86 86       248 166 94 0                  0                120                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255        252 223 138         90 200 255          255 128 0          255 128 0               2.45               0.95               0.05                150                  0                150            4000.00              66.00               0.95        120 100 100        180 255 255     90 170 170 240       248 44 94 89       248 45 66 36                  0                120                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255         130 121 46          151 92 16            255 0 0            255 0 0               3.25               0.95               0.15                110                 40                  0            4000.00              66.00               0.75          120 40 40         200 123 96      103 95 87 240       248 33 99 99       248 66 66 44                  0                120                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255            91 76 5           68 52 14          255 128 0            155 0 0               1.95               0.55               0.25                100                 60                  0            4000.00              66.00               0.95          120 40 40              0 0 0       67 67 67 240      248 124 66 44       248 66 55 23                  0                120                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255            1 24 28              0 0 0            255 5 8              5 8 0               0.95               0.45               0.45                160                100                  0            4000.00              66.00               0.95           70 27 10              0 0 0       44 73 96 240    248 124 124 124       248 45 47 23                  0                112                  0               1.00
//
///////////////////////////////////////////CLOUDY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255           20 20 20              1 1 0            10 10 0             10 0 0               0.95               0.95               0.95                200                100                  0            4000.00             -22.00               0.95            30 20 0           23 28 30       55 55 66 240       248 64 64 12       248 88 66 66                155                  0                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255           14 14 14           14 14 14            10 10 0             10 0 0              -0.05               0.95               0.95                200                100                  0            4000.00             -22.00               0.95           70 27 10           23 28 30       55 55 66 240       248 77 67 52       248 85 72 66                155                  0                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255           41 46 47           36 37 31            10 10 0             10 0 0               3.35               0.85               0.85                200                100                  0            4000.00             -22.00               0.75          100 34 25           23 28 30       77 77 88 240       248 64 64 64       248 77 77 77                155                  0                100               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255           62 72 75        222 220 200            10 10 0             10 0 0              -0.05               0.65               0.75                200                 50                  0            4000.00             -22.00               0.45          120 40 40           46 58 61       77 77 88 240    248 124 124 124       248 48 48 48                155                  0                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255        125 145 151        125 145 151            10 10 0             10 0 0               2.75               0.45               0.65                 80                  0                120            4000.00             -22.00               0.25        120 100 100         92 116 123    125 125 125 240    248 124 124 124       248 48 48 48                155                  0                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255           62 72 75         124 107 71            10 10 0             10 0 0               3.45               0.95               0.95                 80                  0                  0            4000.00             -22.00               0.75        120 100 100           46 58 61    123 128 134 240    248 124 124 124       248 48 48 48                155                  0                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255           29 29 30             3 7 11            10 10 0             10 0 0               1.95               0.95               0.95                 80                 50                  0            4000.00             -22.00               0.95        120 100 100           46 58 61    122 126 134 240       248 64 64 55       248 48 48 48                155                  0                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255           20 20 20              0 0 0            10 10 0             10 0 0               0.95               0.95               0.95                200                100                  0            4000.00             -22.00               0.95           70 27 10           23 28 30       77 77 88 240       248 64 64 12       248 48 48 48                155                  0                  0               1.00
//
///////////////////////////////////////////RAINY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255             8 8 10           20 20 20              0 0 0              0 0 0               0.95               0.95               0.45                200                100                  0            4000.00               5.00               0.95            30 20 0              0 0 0       59 68 77 240    248 124 124 124       248 16 48 10                155                  0                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0              -0.05               0.95               0.55                200                100                  0            4000.00               5.00               0.95           70 27 10              0 0 0       59 68 77 240    248 124 124 124        248 0 48 20                155                  0                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0               3.35               0.85               0.35                200                100                  0            4000.00               5.00               0.85          100 34 25              0 0 0       62 72 77 240    248 124 124 124        248 0 48 20                155                  0                100               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255           40 40 40           50 50 50              0 0 0              0 0 0               2.45               0.65               0.35                 80                 80                  0            4000.00               5.00               0.75          120 40 40              0 0 0    107 117 122 240    248 124 124 124        248 0 48 20                155                  0                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255           80 80 80           70 70 70              0 0 0              0 0 0               0.95               0.45               0.05                 80                 50                120            4000.00               5.00               0.65        120 100 100              0 0 0    141 141 140 240    248 124 124 124       248 30 38 30                155                  0                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255           80 80 80           69 66 63              0 0 0              0 0 0               3.45               0.95               0.45                 80                 50                  0            4000.00               5.00               0.85          120 40 40              0 0 0    116 135 144 240    248 124 124 124       248 10 46 22                155                  0                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255           18 18 22             3 7 10              0 0 0              0 0 0               1.95               0.95               0.95                 80                 80                  0            4000.00               5.00               0.95          120 40 40              0 0 0    132 176 189 240    248 124 124 124        248 0 48 20                155                  0                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255             8 8 10              0 0 0              0 0 0              0 0 0               0.95               0.95               0.95                200                100                  0            4000.00               5.00               0.95           70 27 10              0 0 0    161 176 189 240    248 124 124 124        248 0 48 20                155                  0                  0               1.00
//
///////////////////////////////////////////FOGGY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255             3 29 3              0 4 0            10 10 0             10 0 0               0.95               0.95               0.65                 60                 50                  0            4000.00            -200.00               0.95            30 20 0              0 0 0    120 120 125 240    248 124 124 124       248 30 30 32                  0                120                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255            0 45 45            0 45 45            10 10 0             10 0 0              -0.05               0.95               0.65                 60                 50                  0            4000.00            -200.00               0.95           70 27 10              0 0 0    120 120 125 240    248 124 124 124       248 30 30 32                  0                120                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255            0 45 45            0 45 45             0 10 0             10 0 0               3.35               0.85               0.65                 60                 50                  0            4000.00            -200.00               0.75          100 34 25              0 0 0    128 128 125 240    248 124 124 124       248 30 30 32                  0                120                100               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255           40 50 50           68 66 47            10 10 0             10 0 0               2.45               0.65               0.65                 60                 50                  0            4000.00            -200.00               0.55          120 40 40              0 0 0    128 128 125 240    248 124 124 124       248 30 30 32                  0                120                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255        146 155 155        127 144 144            10 10 0             10 0 0               0.95               0.45               0.25                 60                 50                 60            4000.00             -30.00               0.25        120 100 100              0 0 0    128 128 128 240    248 124 124 124       248 30 30 32                  0                120                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255        100 100 105         154 132 50            10 10 0             10 0 0               3.45               0.95               0.25                 60                 50                  0            4000.00             -70.00               0.75          120 40 40              0 0 0    123 123 124 240    248 124 124 124       248 30 30 32                  0                111                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255             8 56 8              1 5 7            10 10 0             10 0 0               1.95               0.95               0.95                 60                 50                  0            4000.00             -80.00               0.95          120 40 40              0 0 0    122 121 124 240    248 124 124 124       248 30 30 32                  0                120                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255             3 29 3              0 0 0            10 10 0             10 0 0               0.95               0.95               0.65                 60                 50                  0            4000.00            -100.00               0.95           70 27 10              0 0 0    123 124 120 240    248 124 124 124       248 30 30 32                  0                120                  0               1.00
//
///////////////////////////////////////////SUNNY_VEGAS 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255           10 14 27           24 31 53          255 255 0              5 0 0               0.95               0.25               0.75                200                100                  0            4000.00             100.00               0.95            30 20 0              3 3 3       38 38 55 240       248 64 64 64        248 88 27 0                122                  0                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255           88 18 84           56 44 20          255 128 0            255 0 0              -0.05               0.25               0.75                150                100                  0            4000.00             100.00               0.95           70 27 10           50 43 36       53 62 68 240      248 64 64 152        248 79 27 0                122                  0                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255         105 89 255         200 144 85          255 128 0          255 128 0               8.35               0.35               0.05                140                100                  0            4000.00             100.00               0.75          100 34 25          120 92 88    185 160 160 240       248 64 64 64        248 77 66 0                122                  0                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255         90 205 255         90 200 255          255 128 0            255 0 0               3.25               0.15               0.05                100                 50                  0            4000.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240       248 64 64 64       248 64 64 22                122                  0                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255         90 180 255         90 200 255          255 128 0          255 128 0               2.45               0.05               0.25                150                  0                150            4000.00              10.00               0.95        120 100 100        180 255 255     90 170 170 240       248 64 64 64     248 128 111 44                122                 88                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255          54 71 125            90 80 2        255 255 255        255 255 255               3.45               0.15               0.95                110                 40                  0            4000.00              10.00               0.75          120 40 40         200 123 96      153 95 87 240       248 64 64 64       248 122 27 0                122                  0                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255          42 57 105            6 11 11          255 128 0            155 0 0               1.95               0.15               0.95                100                 60                  0            4000.00              10.00               0.95          120 40 40              0 0 0       67 67 67 240      248 127 93 71        248 83 11 0                122                  0                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255           10 14 27           28 36 64            255 5 8              5 8 0               0.95               0.25               0.55                160                100                  0            4000.00              10.00               0.95           70 27 10              0 0 0       67 67 62 240    248 124 124 124        248 34 27 0                122                  0                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_VEGAS 
//
